career,skill,resource,level
Data Science,Python Programming,https://www.coursera.org/specializations/python,Beginner
Data Science,Statistics and Probability,https://www.khanacademy.org/math/statistics-probability,Intermediate
Data Science,Machine Learning Basics,https://www.udemy.com/course/machinelearning/,Advanced
Web Development,HTML & CSS,https://web.dev/learn/html/,Beginner
Web Development,JavaScript Essentials,https://javascript.info/,Beginner
Web Development,React.js Framework,https://react.dev/learn,Intermediate
Cloud Engineering,Virtualization Fundamentals,https://www.edx.org/course/cloud-computing-fundamentals,Beginner
Cloud Engineering,AWS Cloud Practitioner,https://aws.amazon.com/training/digital/aws-cloud-practitioner-essentials/,Intermediate
